eventId,eventName,startDate,category,city
E1,Spectacular Literary Fair,2024-01-01,Literature,San Diego
E2,Cultural Literary Fair,2024-01-02,Film,San Diego
E3,Modern Music Festival,2024-01-03,Fashion,San Diego
E4,Spectacular Music Festival,2024-01-04,Comedy,Seattle
E5,Modern Tech Summit,2024-01-05,Technology,San Diego
E6,International Startup Pitch,2024-01-06,Sport,Austin
E7,Spectacular Music Festival,2024-01-07,Film,Miami
E8,International Comedy Show,2024-01-08,Film,San Diego
E9,Dynamic Food Carnival,2024-01-09,Fashion,San Jose
E10,Dynamic Startup Pitch,2024-01-10,Music,San Antonio
E11,Dynamic Tech Summit,2024-01-11,Literature,Atlanta
E12,Grand Tech Summit,2024-01-12,Technology,Houston
E13,Dynamic Food Carnival,2024-01-13,Art,Denver
E14,Cultural Literary Fair,2024-01-14,Sport,Houston
E15,International Literary Fair,2024-01-15,Food,Phoenix
E16,Cultural Tech Summit,2024-01-16,Art,Houston
E17,Grand Comedy Show,2024-01-17,Literature,Portland
E18,International Music Festival,2024-01-18,Sport,Philadelphia
E19,Spectacular Art Expo,2024-01-19,Film,Los Angeles
E20,International Food Carnival,2024-01-20,Food,Austin
E21,Dynamic Food Carnival,2024-01-21,Music,Miami
E22,International Art Expo,2024-01-22,Technology,Phoenix
E23,International Literary Fair,2024-01-23,Music,Philadelphia
E24,Spectacular Startup Pitch,2024-01-24,Comedy,San Jose
E25,Modern Art Expo,2024-01-25,Fashion,San Diego
E26,Spectacular Tech Summit,2024-01-26,Sport,Miami
E27,Spectacular Comedy Show,2024-01-27,Music,Chicago
E28,Dynamic Startup Pitch,2024-01-28,Art,Seattle
E29,Grand Comedy Show,2024-01-29,Fashion,Las Vegas
E30,Cultural Startup Pitch,2024-01-30,Music,Atlanta
E31,Cultural Startup Pitch,2024-01-31,Conference,New York
E32,Annual Music Festival,2024-02-01,Comedy,San Jose
E33,Annual Comedy Show,2024-02-02,Literature,San Jose
E34,Cultural Literary Fair,2024-02-03,Technology,Los Angeles
E35,Cultural Tech Summit,2024-02-04,Comedy,Dallas
E36,Cultural Tech Summit,2024-02-05,Fashion,Denver
E37,Annual Music Festival,2024-02-06,Conference,Las Vegas
E38,Dynamic Startup Pitch,2024-02-07,Sport,Portland
E39,Annual Startup Pitch,2024-02-08,Art,Seattle
E40,Spectacular Comedy Show,2024-02-09,Technology,San Diego
E41,International Art Expo,2024-02-10,Technology,Atlanta
E42,Modern Comedy Show,2024-02-11,Comedy,Boston
E43,Modern Food Carnival,2024-02-12,Fashion,San Jose
E44,International Comedy Show,2024-02-13,Sport,Boston
E45,International Food Carnival,2024-02-14,Film,Boston
E46,Dynamic Food Carnival,2024-02-15,Conference,San Antonio
E47,Cultural Startup Pitch,2024-02-16,Film,Denver
E48,Dynamic Comedy Show,2024-02-17,Art,Atlanta
E49,Spectacular Food Carnival,2024-02-18,Sport,Dallas
E50,Cultural Tech Summit,2024-02-19,Sport,San Diego
E51,Spectacular Art Expo,2024-02-20,Conference,Portland
E52,Modern Startup Pitch,2024-02-21,Food,Denver
E53,Spectacular Comedy Show,2024-02-22,Film,Las Vegas
E54,International Art Expo,2024-02-23,Music,Dallas
E55,International Startup Pitch,2024-02-24,Technology,Seattle
E56,Grand Music Festival,2024-02-25,Food,Seattle
E57,Modern Music Festival,2024-02-26,Music,Philadelphia
E58,Spectacular Music Festival,2024-02-27,Fashion,San Antonio
E59,Spectacular Music Festival,2024-02-28,Conference,Chicago
E60,International Literary Fair,2024-02-29,Fashion,Las Vegas
E61,International Art Expo,2024-03-01,Technology,Portland
E62,Dynamic Comedy Show,2024-03-02,Literature,Las Vegas
